Model,Provider,Task,Parameters,gpu_energy,Latency,Accuracy,kg_co2_per_kwh,Score
swin-base-patch4-window12-384,microsoft,Image Classification,,1.53,,85.2,0.5355,★★★
efficientnet-b7,google,Image Classification,,1.85,,84.3,0.6475,★★
mit-b5,nvidia,Image Classification,,2.49,,84.5,0.8715,★
vision-perceiver-conv,deepmind,Image Classification,,2.64,,83.8,0.924,★
,,,,,,,,
pix2struct-base,google,Image Captioning,282000000,45.75,,80,16.0125,★★★★★
blip-image-captioning-base,Salesforce,Image Captioning,,47.12,,87,16.492,★★★★★
blip-image-captioning-large,Salesforce,Image Captioning,470000000,48.51,,93,16.9785,★★★★★
git-base,microsoft,Image Captioning,177000000,74.71,,90,26.1485,★★★★
blip2-opt-2.7b,Salesforce,Image Captioning,3740000000,101.34,,94 ,35.469,★★★
blip2-flan-t5-xl,Salesforce,Image Captioning,3940000000,102.15,,96,35.7525,★★★
vlrm-blip2-opt-2.7b,sashakunitsyn,Image Captioning,3740000000,103.35,,94,36.1725,★★★
git-large-coco,microsoft,Image Captioning,394000000,170.32,,92,59.612,★
blip2-opt-6.7b,Salesforce,Image Captioning,7750000000,174.96,,100,61.236,★
blip2-flan-t5-xxl,Salesforce,Image Captioning,12200000000,179.93,,99,62.9755,★
,,,,,,,,
bart_summarizer_model,KipperDev,Summarization,139000000,0.78,,85,0.273,★★★★★
distilbart-xsum-12-1,sshleifer,Summarization,,1.05,,83,0.3675,★★★★★
distilbart-cnn-12-6,sshleifer,Summarization,,1.48,,84,0.518,★★★★★
bart-large-cnn,facebook,Summarization,406000000,2.04,,89,0.714,★★★★★
t5-small,google-t5,Summarization,60500000,2.27,,78,0.7945,★★★★★
bigbird-pegasus-large-arxiv,google,Summarization,,3.52,,91,1.232,★★★★★
t5-base,google-t5,Summarization,223000000,4.23,,82,1.4805,★★★★★
led-large-book-summary,pszemraj,Summarization,460000000,4.29,,87,1.5015,★★★★★
t5-large,google-t5,Summarization,738000000,8.68,,88,3.038,★★★★
t5-3b,google-t5,Summarization,2850000000,13.24,,92,4.634,★★★★
t5-11b,google-t5,Summarization,,34.81,,94,12.1835,★
,,,,,,,,
wav2vec2-base-960h,facebook,Automatic Speech Recognition,94400000,0.62,,86,0.217,★★★★★
sew-d-base-plus-400k-ft-ls100h,asapp,Automatic Speech Recognition,177000000,1.54,,85,0.539,★★★★★
hubert-large-ls960-ft,facebook,Automatic Speech Recognition,,1.62,,87,0.567,★★★★★
mms-1b-all,facebook,Automatic Speech Recognition,965000000,4.28,,89,1.498,★★★★★
whisper-tiny,openai,Automatic Speech Recognition,37800000,13.44,,74,4.704,★★★★★
distil-small.en,distil-whisper,Automatic Speech Recognition,166000000,15.57,,75,5.4495,★★★★★
whisper-base,openai,Automatic Speech Recognition,72600000,16.55,,77,5.7925,★★★★★
distil-medium.en,distil-whisper,Automatic Speech Recognition,394000000,16.97,,78,5.9395,★★★★★
s2t-small-librispeech-asr,facebook,Automatic Speech Recognition,29500000,17.2,,79,6.02,★★★★★
distil-large-v2,distil-whisper,Automatic Speech Recognition,756000000,21.52,,80,7.532,★★★★
whisper-small,openai,Automatic Speech Recognition,242000000,29.97,,82,10.4895,★★★★
whisper-medium,openai,Automatic Speech Recognition,764000000,61.42,,88,21.497,★★
whisper-large-v3,openai,Automatic Speech Recognition,1540000000,86.68,,91,30.338,★
,,,,,,,,
yolos-tiny,hustvl,Object Detection,6490000,1,,73,0.35,★★★★★
conditional-detr-resnet-50,microsoft,Object Detection,43500000,2.14,,78,0.749,★★★★★
detr-resnet-101,facebook,Object Detection,60700000,2.53,,85 ,0.8855,★★★★
detr-resnet-50-dc5,facebook,Object Detection,41600000,3.28,,83,1.148,★★★★
yolos-small,hustvl,Object Detection,30700000,3.28,,80,1.148,★★★★
detr-resnet-50-dc5,facebook,Object Detection,41600000,3.29,,83 ,1.1515,★★★★
yolos-base,hustvl,Object Detection,,7.98,,88 ,2.793,★
,,,,,,,,
GIST-all-MiniLM-L6-v2,avsolatorio,Sentence Similarity,22700000,0.11,,75 ,FALSE,★★★★★
bge-small-en-v1.5,BAAI,Sentence Similarity,33400000,0.19,,77,0.0665,★★★★★
gte-base,thenlper,Sentence Similarity,109000000,0.25,,79 ,0.0875,★★★★★
bge-base-en-v1.5,BAAI,Sentence Similarity,109000000,0.25,,80,0.0875,★★★★★
e5-base-v2,intfloat,Sentence Similarity,109000000,0.25,,81 ,0.0875,★★★★★
GIST-Embedding-v0,avsolatorio,Sentence Similarity,109000000,0.26,,82 ,0.091,★★★★★
nomic-embed-text-v1,nomic-ai,Sentence Similarity,137000000,0.38,,84 ,0.133,★★★★★
ember-v1,llmrails,Sentence Similarity,335000000,0.58,,86,0.203,★★★★★
GIST-large-Embedding-v0,avsolatorio,Sentence Similarity,335000000,0.58,,87 ,0.203,★★★★★
mxbai-embed-large-v1,mixedbread-ai,Sentence Similarity,335000000,0.59,,88,0.2065,★★★★★
gte-large,thenlper,Sentence Similarity,335000000,0.59,,88,0.2065,★★★★★
UAE-Large-V1,WhereIsAI,Sentence Similarity,335000000,0.6,,89,0.21,★★★★★
e5-large-v2,intfloat,Sentence Similarity,335000000,0.6,,89,0.21,★★★★★
multilingual-e5-large-instruct,intfloat,Sentence Similarity,560000000,0.72,,90,0.252,★★★★★
udever-bloom-1b1,izhx,Sentence Similarity,,0.97,,91,0.3395,★★★★★
udever-bloom-3b,izhx,Sentence Similarity,,2.15,,93,0.7525,★★★
udever-bloom-7b1,izhx,Sentence Similarity,,4.7,,95,1.645,★
GritLM-7B,GritLM,Sentence Similarity,7240000000,5.03,,96,1.7605,★
SFR-Embedding-Mistral,Salesforce,Sentence Similarity,7110000000,5.22,,97,1.827,★
,,,,,,,,
bert-tiny-finetuned-squadv2,mrm8488,Question Answering,4390000,0.06,,65,0.021,★★★★★
dynamic_tinybert,Intel,Question Answering,,0.21,,68,0.0735,★★★★★
question_answering_v2,Falconsai,Question Answering,66400000,0.23,,69,0.0805,★★★★★
distilbert-base-cased-distilled-squad,distilbert,Question Answering,65200000,0.24,,72,0.084,★★★★★
minilm-uncased-squad2,deepset,Question Answering,33400000,0.25,,74,0.0875,★★★★★
electra-base-squad2,deepset,Question Answering,109000000,0.47,,76,0.1645,★★★★★
deberta-v3-base-squad2,deepset,Question Answering,184000000,0.81,,78,0.2835,★★★★★
mdeberta-v3-base-squad2,timpal0l,Question Answering,278000000,0.86,,79,0.301,★★★★★
mobilebert-uncased-squad-v2,csarron,Question Answering,24600000,0.94,,80,0.329,★★★★★
bert-large-uncased-whole-word-masking-squad2,deepset,Question Answering,335000000,1.05,,81,0.3675,★★★★★
longformer-base-4096-finetuned-squadv2,mrm8488,Question Answering,,1.79,,82,0.6265,★★★★★
deberta-v3-large-squad2,deepset,Question Answering,434000000,1.88,,83,0.658,★★★★★
longformer-large-4096-finetuned-triviaqa,allenai,Question Answering,,3.97,,82,1.3895,★★★★★
t5-small,google-t5,Question Answering,60500000,20.64,,75,7.224,★★★★★
t5-base,google-t5,Question Answering,223000000,34.36,,78,12.026,★★★★★
t5-large,google-t5,Question Answering,738000000,72.28,,83,25.298,★★★
t5-3b,google-t5,Question Answering,2850000000,87.7,,88,30.695,★★★
t5-11b,google-t5,Question Answering,,178.13,,91,62.3455,★
